text,emotion,label_id,emotion_code
일은 왜 해도 해도 끝이 없을까? 화가 난다.,anger,3,E18
그냥 내가 해결하는 게 나아. 남들한테 부담 주고 싶지도 않고.,anger,3,E18
이번 달에 또 급여가 깎였어! 물가는 오르는데 월급만 자꾸 깎이니까 너무 화가 나.,anger,3,E18
최대한 지출을 억제해야겠어. 월급이 줄어들었으니 고정지출을 줄일 수밖에 없을 것 같아.,anger,3,E18
회사에 신입이 들어왔는데 말투가 거슬려. 그런 애를 매일 봐야 한다고 생각하니까 스트레스 받아.,anger,3,E18
잘 안 맞는 사람이랑 억지로 잘 지내는 것보단 조금은 거리를 두고 예의를 갖춰서 대하는 게 덜 스트레스받을 것 같아.,anger,3,E18
직장에서 막내라는 이유로 나에게만 온갖 심부름을 시켜. 일도 많은 데 정말 분하고 섭섭해.,anger,3,E18
직장 사람들과 솔직하게 이야기해보고 싶어. 일하는 데에 방해된다고.,anger,3,E18
얼마 전 입사한 신입사원이 나를 무시하는 것 같아서 너무 화가 나.,anger,3,E18
상사인 나에게 먼저 인사하지 않아서 매일 내가 먼저 인사한다고!,anger,3,E18
직장에 다니고 있지만 시간만 버리는 거 같아. 진지하게 진로에 대한 고민이 생겨.,anger,3,E18
직장 상사한테 자주 지적을 받아. 그럴 때마다 이 업무는 나랑 맞지 않는 거 같이 느껴져.,anger,3,E18
성인인데도 진로를 아직도 못 정했다고 부모님이 노여워하셔. 나도 섭섭해.,anger,3,E18
부모님께 좀 더 시간을 달라고 해야겠어. 진로 테스트를 받아볼까 생각 중이야.,anger,3,E18
퇴사한 지 얼마 안 됐지만 천천히 직장을 구해보려고.,neutral,4,E66
더 좋은 회사가 기다리고 있을지도 모르는데 쉬고 있기가 좀 그래.,neutral,4,E66
졸업반이라서 취업을 생각해야 하는데 지금 너무 느긋해서 이래도 되나 싶어.,anxiety,2,E37
응. 느긋함을 느끼는 내가 좀 싫었는데 걱정을 많이 하는 것보다는 낫다는 생각도 들어.,anxiety,2,E37
요즘 직장생활이 너무 편하고 좋은 것 같아!,neutral,4,E66
우리 회사는 복지가 정말 좋아! 내가 곧 출산하게 되는데 육아휴직 기간도 긴 데다가 소정의 지원금도 제공해줘!,neutral,4,E66
취업해야 할 나이인데 취업하고 싶지가 않아.,neutral,4,E66
아직 조금 더 놀고 싶은 마음이 커. 인생은 긴데 꼭 빨리 취업해야 할까 싶어.,neutral,4,E66
면접에서 부모님 직업에 대한 질문이 들어왔어.,anxiety,2,E35
무척 당혹스러웠어. 부모님 직업이 면접에 영향을 줄 것 같았어.,anxiety,2,E35
큰일이야. 부장님께 결재받아야 하는 서류가 사라졌어. 한 시간 뒤에 제출해야 하는데 어디로 갔지?,anxiety,2,E35
혹시 과장님이 가져가신 건 아닌지 여쭈어보고 올까? 괜히 그랬다가 서류 잃어버렸다고 혼나면 어쩌지.,anxiety,2,E35
나 얼마 전에 면접 본 회사에서 면접 합격했다고 연락받았었는데 오늘 다시 입사 취소 통보받아서 당혹스러워.,anxiety,2,E35
코로나바이러스 때문에 그렇다고 하는데 이럴 거면 아예 면접을 보지 말 걸 그랬나 봐.,anxiety,2,E35
길을 가다가 우연히 마주친 동네 아주머니께서 취업했냐고 물어보셔서 당황했어.,anxiety,2,E50
평소 친한 것도 아닌데 갑자기 취직했냐고 물어보시니 당황했지. 당당하게 취업했다고 말하지 못해서 더 곤란했어.,anxiety,2,E50
어제 합격 통보를 받은 회사에서 문자를 잘못 발송했다고 연락이 왔어. 너무 당혹스럽고 속상해.,anxiety,2,E50
물론 사과는 받았지. 하지만 대기업에서 이런 사소한 실수를 하다니 정말 실망이야.,anxiety,2,E50
