text,emotion,label_id,emotion_code
친구들에게 지금 내 기분을 말해야겠어.,sad,1,E49
갑자기 회사에서 희망퇴직을 권유 받았어.,anxiety,2,E50
가족들이랑 함께한 시간이 늘어서 자연스럽게 게임 하는 시간이 줄었던 기억이 있어.,anxiety,2,E37
가족들에게 직접 나의 감정을 얘기해봐야겠어.,sad,1,E49
그렇지 늘 오늘 같기만 하면 얼마나 좋을까.,joy,0,E64
동생이 숙제를 안 하고 노니까 엄마가 꾸중을 냈어.,joy,0,E64
아직 모아둔 돈이 많지는 않지만 빚을 다 갚은 것으로 만족해.,joy,0,E64
이번엔 내가 맡은 몫을 잘해야겠어. 적어도 친구들이 내 탓은 하지 않도록 말이야.,anxiety,2,E37
몇 해 전부터 당뇨합병증을 앓고 있는데 나아지고 있는 것 같지 않아서 불안해.,anxiety,2,E30
너무 속상하지. 나도 손주가 보고 싶어.,sad,1,E22
원래 창업할 계획이었는데 갑자기 취직하게 되었어. 직무부터 정해야 하는데 머리가 마비된 느낌이네.,anxiety,2,E25
서로 번갈아서 자기가 원하는 걸 하는 건 어떨지 대화해 보려고 해.,joy,0,E64
공통된 취미가 있으면 그걸 이야기하다 보니 친해지게 되었어.,joy,0,E64
맞아. 너무 어려웠는데 시간이 해결해 주더라고.,joy,0,E64
딸은 내가 건강하고 오래 사는 게 싫은가. 오늘 같이 얘기를 했는데 그런 눈치라서 짜증을 내버렸어.,anger,3,E10
그냥 그 시간에 내가 하고 싶은 거나 더 하고 싶어.,anger,3,E10
직장에서 해고되어 아내를 볼 면목이 없어.,sad,1,E56
응 내가 어리다는 거 하나 때문에 능력을 폄하 당하는 것 같아서 기분이 나빠.,anger,3,E18
그래서 결혼에 대해 아무런 자신도 없고 그냥 무서워.,sad,1,E40
엄마가 성적이 떨어져서 삭발시키신대. 너무 슬퍼.,sad,1,E22
아내와 같이 운동한 후로 더 건강해지고 사이도 돈독해져서 기분이 매우 좋아.,joy,0,E64
지금이 한 달째인데 더 이상은 못 참겠어. 사내 커뮤니티에 글 좀 올려보려고.,anger,3,E19
인기 가수에 대해서 대화를 하는데 내가 트로트 가수 이야기를 했더니 고지식한 노인네래.,sad,1,E40
이번에 들어온 신입 사원들의 행동이 민첩해. 일머리도 좋고 말이야.,joy,0,E64
직장 생활할 때는 못 느꼈던 자유함을 만끽하는 중이야.,neutral,4,E66
꾸준히 다니면 많이 좋아질 것 같아서 기쁘네.,joy,0,E64
맞아. 선생님께서 적극적으로 나서주시니까 더 이상 불안하지도 않고 학교 다닐 맛이나.,neutral,4,E66
노래도 부르고 건강 체조도 하고 화투도 치고 그래.,joy,0,E64
지금 만나는 그 남자가 나를 더 좋아하는 것 같아서 마음이 느긋해.,neutral,4,E66
은퇴 후에 귀농하려고 땅을 좀 구입했어. 너무 기뻐.,joy,0,E64
스피치 학원에 다닌다든지 해서 연습을 하면 나아질까?,sad,1,E56
매번 꽃다발을 가져다 줬었지. 정말 즐거운 날이었어.,joy,0,E64
좋은 곳으로 여행을 가거나 등산을 하거나 하는 거지.,neutral,4,E66
재테크에 성공해서 경제적인 여유가 생겼어.,neutral,4,E66
언제쯤 받을 수 있을지. 너무 힘들다.,sad,1,E40
출근 시간을 못 맞춘다거나 근무 중에 병 때문에 너무 힘들면 어쩌지.,anxiety,2,E31
놀다 오려고 했는데 압박감 때문에 너무 힘들었어.,anger,3,E10
앞으로도 계속 이렇게 했으면 좋겠는데 공부량이 많아서 피곤하기는 해.,neutral,4,E66
사실 부모님과 이미 얘기해봤는데 조금은 나를 이해하기 시작하신 것 같아.,neutral,4,E66
나이가 들면서 나 자신이 더는 쓸모 있게 느껴지지 않아.,anxiety,2,E25
다 나 때문이야. 내가 다 못나서 그러지.,anger,3,E18
맘에 맞는 좋은 친구 한둘만 있으면 참 살기 좋은 세상이지.,neutral,4,E66
마음을 내려 놓으니까 사람들과의 관계에서도 너무 편안하고 좋아.,joy,0,E64
다들 인격적으로도 능력적으로도 배울 점이 많은 사람들이야. 내가 인복이 좀 있나 봐.,joy,0,E64
누구에게 의지하지 않아도 되서 얼마나 다행인지.,joy,0,E64
몰라. 너무 화가 나서 아무것도 하고 싶지 않아.,anger,3,E10
몇몇 직원들이 내가 아줌마라고 무시하는 게 느껴져서 화가 나.,anger,3,E10
내가 우선 잘 해야겠지?,neutral,4,E66
요즘 젊은 사람들은 어른을 공경하는 게 없어.,anger,3,E18
요즘 여자친구 말투가 달라진 거 같아.,anxiety,2,E30
나도 얼마나 걱정했는지 몰라.,neutral,4,E66
나는 결혼 전에 하고 싶은 일이 많아서 빨리 결혼하고 싶지 않거든. 남자친구와 다시 얘기해봐야겠어.,neutral,4,E66
모든 일에 조심하려고 노력하고 있어.,anxiety,2,E30
나는 가까운 사람과 수다 떨 때 기분 좋아.,anxiety,2,E30
좋아하는 사람이 생겼어.,sad,1,E56
오늘 친구가 남자는 키가 커야 좋다는데 너는 키가 작아서 어떡하냐고 놀려서 너무 우울해.,anger,3,E19
같은 성별이라는 이유로 내가 좋아하는 직장 동료에게 거절당했어. 너무 슬프고 힘들어.,sad,1,E40
우리 팀원들에게 다시 한 번 고마움을 표하고자 맛있는 식사를 대접해야겠어.,joy,0,E64
