text,emotion,label_id
중요한 전공 서적을 친구한테 빌려주고 돌려받으려니까 잃어버렸대. 대수롭지 않게 말하는 친구를 보니 화가 너무 났어.,anger,3
진로 문제 때문에 너무 고민이 많아. 정말 울적해.,sad,1
여자친구랑 헤어졌어. 이제 이런 슬픔은 겪고 싶지가 않아.,sad,1
그렇게 꿈꿔오던 결혼인데 막상 한 달 앞으로 다가오니 걱정부터 앞서.,anxiety,2
대인관계를 어떻게 잘 이어 나가야 할지 모르겠고 좌절감이 들어.,anger,3
매일 병원 찾아다니기 너무 번거로워. 나만 이렇게 골골대는 것 같고 짜증이 나려고 하네.,anger,3
당구는 내 유일한 오락인데 손목이 망가졌으니 더는 당구를 치면 안 된다고 하네.,anger,3
친구들이 건강을 위해 소 생간이나 천엽 등을 먹는다고 하네.,neutral,4
취업해야 하는데 앞으로 어떻게 해야 할지 막막해서 혼란스럽고 답답해.,anxiety,2
오늘은 기쁜 날이야.,sad,1
코로나바이러스 악화로 한순간에 일자리를 잃었어.,anger,3
화가 나고 분노가 치밀어 미치겠어.,anger,3
나이가 먹어가면서 취업이 더 어려워지는 것 같아.,anxiety,2
내가 가지고 있는 질환은 보험이 잘 돼서 다행이야. 친구는 질병 보험이 안 돼서 돈이 많이 든다더라고.,joy,0
내 주변 사람들이 나를 어떻게 생각하는지 불안해.,anxiety,2
내가 하고 싶은 일을 꾸준히 해왔는데 가정 형편을 위해 포기해야 할 때가 온 것 같아.,neutral,4
시아버지가 돌아가신 게 내 책임인 것 같아서 요즘 잠이 잘 안 와.,neutral,4
요즘 코로나 때문에 취업이 너무 안 돼!,anger,3
출산계획이 없는데 왜 우리 가족계획에까지 참견하는지 모르겠어.,anger,3
날 괴롭혔던 친구가 이번에 결혼한다네. 정말 싫어.,anger,3
오늘 가입했던 펀드가 너무 떨어져서 짜증이 나.,anger,3
처음 출근한 직장이 낯설어서 너무 혼란스러워.,neutral,4
이 동네에서 장사하는 사람 중에 정당하게 하는 사람들이 더 적은 거 같아.,sad,1
어제 회사 면접을 보고 왔는데 평소와 달리 왜 이렇게 마음이 편하지?,joy,0
이번에 직무 관련으로 보직이 다른 곳으로 발령이 났는데 마음에 들지가 않아 그만둘까 해.,anxiety,2
여자친구가 나보고 한심하다고 이제 싫대. 좌절하지 않을 수가 없다.,anger,3
지인이 많아서 몸조심 안 하고 무리를 했나 보다.,neutral,4
나중에 내가 어떤 일을 어떻게 하면서 살아야 할지 모르겠어.,sad,1
취업이 되지 않아. 너무 우울해.,sad,1
직장 동료가 맞춤법을 자꾸 틀려.,anger,3
이런 일도 다 있네 한 번에 통과했어 한 번에!,joy,0
취업 준비 중인데 성공할 수 있을지 가늠이 안 돼서 불안해.,anxiety,2
나와 남편은 벌써 몇 년째 각방을 쓰고 있어서 상처가 돼.,neutral,4
건강검진 결과가 나왔는데 대사증후군이라고 하네. 마른 체형인데 말이야.,neutral,4
친구에게 노후준비 여부를 물어보려는데 되게 조심스러워.,anxiety,2
친구랑 싸워서 속상해.,anger,3
나 남자친구랑 헤어졌어.,sad,1
준비했던 보고서를 제출했는데 다시 하라고 한 소리 들었어. 며칠은 또 고생해야 할 판이야.,anger,3
독서 모임에서 처음 만난 친구에게 연락해도 될지 조심스러워.,anxiety,2
앞으로 어떤 대학에 가야 할지 어떤 직업을 가져야 할지 모르겠어.,anxiety,2
나는 내가 무슨 옷을 입고 외출했을 때 사람들이 나를 어떻게 볼지 너무 신경이 쓰여.,neutral,4
내가 하고 싶은 일을 찾아서 만족스러워.,joy,0
이제야 직장에서 자리를 잡은 것 같아.,joy,0
요번에 회사에서 하는 새로운 프로젝트에 내가 낸 의견이 채택됐어. 오늘 팀장님께 칭찬까지 받아서 아주 기분이 좋아.,joy,0
병원이 너무 갑갑하다. 진작 말 좀 잘 들을 걸 후회하고 있어.,sad,1
나는 탈모 때문에 스트레스였는데 아내가 걱정 말라고 위로해 줘서 기분이 좋아졌어.,joy,0
아 너무 화나!,anger,3
은퇴 후 시골에 들어가 약용식물이나 키우며 지낼까?,joy,0
지금이라도 이직을 할 수 있을까?,sad,1
여자친구가 알고 보니 기혼녀였어. 믿을 수가 없네.,neutral,4
남자친구 친구로부터 남자친구가 전과자였다는 사실을 알았는데 충격적이야.,neutral,4
학교폭력 사실을 주변에 털어놓았는데 가해자들이 소식을 듣더니 찾아오겠대.,anxiety,2
우리 딸은 남의 시선을 의식하지 않고 막 행동해서 걱정이야.,anxiety,2
취업 준비하기가 너무 어려운 것 같아. 회사마다 필기시험 기준도 성향도 많이 다르네.,anxiety,2
주변 친구들은 다 연애하고 결혼하고 각자 짝이 있는데 나만 혼자인 것 같아 외로워.,neutral,4
휴가 기간에 나 대신 일 처리해 준 것 고마웠어!,joy,0
대학을 졸업했는데. 전공과목에 맞춰서 진로를 정해 직장을 구하기가 힘들어.,joy,0
배 속의 아기가 유산되었어. 너무 슬프고 고통스러워.,sad,1
어제 부인 앞에서 그만 방귀가 나왔지 뭐야. 그것도 소리가 제법 컸어.,neutral,4
어제 건강검진 결과 듣고 너무 당황스러웠어.,anxiety,2
삼십 대가 다가오는데 아직 취업을 못 해서 걱정이야,sad,1
지난달에 길었던 연애 기간을 끝내고 결혼해 아내랑 같이 살기 시작하니 몸도 마음도 안정되는 거 같아.,joy,0
이번에 정기 건강검진을 받았는데 직전 검진에서 발견되었던 고지혈증 증세도 많이 완화되고 대장 용종도 없어졌어.,joy,0
이 회사에 들어온 게 후회돼. 상사는 일 처리에 상식이 없고 체계가 없어서 나와 너무 안 맞아.,anxiety,2
내 여자친구가 바람이 난 것 같아서 의심했어.,joy,0
친구랑 싸웠다가 어제 화해를 했는데 친한 친구여서 절교하면 어떡하나 사실 걱정을 많이 했거든. 정말 다행이야.,joy,0
나이가 들수록 대인관계가 더욱 소중하다는 것을 알게 되는군.,joy,0
아내가 요즘 매일 툴툴대는 것 같아.,anger,3
의사가 알츠하이머라고 했던 게 겨우 기억났어.,anxiety,2
저렇게 불친절한 간호사는 처음 보네. 정말 불쾌하다.,anger,3
결혼 이야기를 하도 들었더니 온몸이 마비되는 거 같아.,anger,3
친하지 않은 친구가 돈을 빌려달라고 해서 당혹스럽네.,anxiety,2
요즘 운동이 뜻대로 되지가 않아.,anxiety,2
오늘 정말 자퇴하고 싶은 기분이 들었어.,anger,3
사람들이 화를 잘 참지 못한다고 뭐라 하네. 그냥 감정에 솔직한 것일 뿐인데.,anger,3
요번 코로나 때문에 명예퇴직하고 나온 퇴직금으로 운영 중인 식당이 완전히 손해가 엄청나. 너무 힘들어.,anger,3
건강 검진을 받아도 경제적으로 여유로워 마음이 편해.,joy,0
요즘 결혼하기가 정말 두려워.,neutral,4
학교에서 여자친구가 팔짱을 꼈는데 다른 사람들을 의식해서 팔을 빼버렸어.,neutral,4
애들이 부모님이 주신 용돈을 빼앗아 가서 학교에 가기 싫어.,neutral,4
면접 다녀왔는데 정말 화가 난다.,anger,3
딸이 언제나 사랑한다고 해 줘서 너무 기뻐.,joy,0
은퇴 후 생활은 어떨까?,anxiety,2
고등학교를 어디로 가야 할지 모르겠어.,sad,1
오늘 오래 만났던 남자친구랑 헤어졌어.,anger,3
나는 재무 설계 서비스를 받은 후로 든든한 마음이 들어.,joy,0
국가건강검진 있어서 다녀왔어. 신체나이가 더 젊다고 칭찬받았어.,joy,0
나를 괴롭히는 친구들보다 내가 시험을 더 잘 봤으면 좋겠어.,anger,3
나 혼자 이 업무를 맡다니 너무 고달플 것 같아.,neutral,4
나한테 왜 그러는 거야. 대체?,anger,3
친구가 좋은 사람과 연애하는 거 같아 다행이야.,joy,0
지난주에 머리가 어지러워서 한동안 일어나질 못했어.,sad,1
대학 졸업반이 되니 동기들과 사이가 소원해졌어.,sad,1
이제 이주만 지나면 출산 예정일이야.,anxiety,2
딸이 남편과 싸우고 방에 틀어박혀 나올 생각을 안 해서 걱정돼.,anxiety,2
요즘 아이와 대화가 너무 잘 통하는 거 같아. 집에 와서 대화도 자주 하고.,joy,0
결혼 준비할 때 결혼 하는 신혼부부에게 너무 바가지 씌우는 사람들이 많은 것 같아.,anger,3
남편이 그동안 날 속이고 다른 여자를 만나왔어. 너무 혐오스러워.,neutral,4
내 주변 사람들은 대체 왜 그렇게 멍청하지? 말을 해도 몰라 정말 짜증 나!,anger,3
아내가 수술 중인데 빨리 끝났으면 좋겠어.,anxiety,2
내일 여자친구와 놀이공원에 가기로 했어.,joy,0
나는 아직 건강하고 힘이 넘치지만 가족들은 내가 얌전히 집에 있기를 바라는 것 같아서 당황스러워.,neutral,4
졸업반이라서 취업을 생각해야 하는데 지금 너무 느긋해서 이래도 되나 싶어.,anxiety,2
힘들게 들어온 회사가 기대한 만큼 좋지도 않고 내 직무와 상관없는 일을 시키네.,anger,3
부모님이 자꾸 취업을 강요하셔.,anger,3
전에 다녔던 회사가 망해버렸으면 좋겠어.,anger,3
오늘 친구에게 배신당해 충격 받았어.,neutral,4
일하다가 온몸이 성한 곳이 없어 아프고 슬퍼.,neutral,4
얼마 전 여자친구에게 이별 통보를 한 게 너무 후회돼.,sad,1
오늘 우리 남편 아주 곤혹스러울 거야.,anger,3
마을 대표로 노래자랑을 나가라는 추천을 받았어.,joy,0
노후준비를 어떻게 할지 혼란스러워.,neutral,4
뒷담화하는 친구들 때문에 스트레스받아.,anxiety,2
코로나일구 때문에 결혼식을 예정대로 할 수 있을지가 걱정이야.,sad,1
노후가 걱정된다.,anxiety,2
이번에 남자친구랑 여행을 가기로 했어.,joy,0
나 명예퇴직하기로 확정됐어. 희망퇴직 상여금이 생각보다 많아서 다행이야.,joy,0
직장 상사가 아주 나쁜 사람이야.,anger,3
다른 학교에 다니는 내 친구가 학교폭력을 당하고 있다는 이야기를 들었어.,neutral,4
요즘 권태기인지 갱년기인지 만사가 다 귀찮아.,sad,1
결혼한 지 오 년 만에 임신이 됐어! 나 너무 기분이 좋아!,joy,0
취업준비생인데 얼마 전에 면접 본 회사에서 입사를 권유받았어. 근데 가야 할지 고민되네.,anxiety,2
결혼 생활 내내 계속되는 남편의 상습적인 거짓말을 견딜 수가 없어.,anger,3
새로 취업한 회사가 처음에는 좋았는데 갈수록 별로야.,sad,1
우리 둘 다 등산을 좋아해서 주말마다 아내랑 산에 다니는 것이 너무 만족스러워.,joy,0
가족이 나를 돈 버는 기계로만 보는 것에 화가 나서 은퇴했다는 사실을 숨기고 혼자 놀러 다녔어.,anger,3
요즘 내 뜻대로 되지 않아서 속상해.,sad,1
요즘 마스크 안 쓰고 다닌 사람들만 보면 화가 나. 그래서 회사 사람들에게도 가끔 화를 낼 때가 있어.,anger,3
난 남자들과의 대화가 쉽지 않아서 좌절감이 들기도 해.,anger,3
할머니는 내가 태어난 것을 반기지 않으시는 것 같아서 우울해.,sad,1
내가 승진 명단에 추천한 사람이 승진이 되어서 너무 기뻤어.,joy,0
요즘 새로운 친구를 사귀었는데 중학생 이후로 정말 잘 맞는 친구를 만나게 되어 너무 기뻐.,joy,0
신입사원인 줄만 알았던 입사 동기가 사장님 아들이었어.,anxiety,2
통장에 잔고가 없어서 걱정이야.,anxiety,2
아이가 컸다고 방에만 있고 나오질 않네. 조금 외롭군.,neutral,4
내가 조금만 더 건강을 챙겼으면 자식들이 나 때문에 병원비를 내지 않아도 됐을 텐데 후회스러워.,sad,1
부모님께서 결혼하라고 재촉하셔. 근데 난 아직 모은 돈이 없어서 이런 내가 한심해.,neutral,4
요즘 몸 상태도 예전 같지 않고 살날이 얼마 남았을까 걱정이 돼.,anxiety,2
친한 친구가 갑자기 사고로 죽어서 너무 슬퍼.,sad,1
남자친구 어머니는 참 욕심이 많으신 것 같아. 벌써 요구하시는 것들이 참 많네.,anxiety,2
병원에 다녀왔는데 이젠 아기가 잘 크고 있으니 너무 큰 걱정은 하지 않아도 된대.,joy,0
요즘에도 아들 결혼으로 장사하는 사람이 있네. 어떻게 그럴 수 있지?,anger,3
회사에서 새로운 부서에 들어갔는데 내일부터 그 부서로 출근을 해야 한대. 내일 무슨 옷을 입을까?,neutral,4
뭐가 잘못된 거지? 계산이 이상하게 나오네.,neutral,4
우리 회사는 수평적인 구조 덕분에 일하기가 참 좋은 것 같아.,joy,0
자식들이 내게 말도 없이 노후 자금을 가져다 써서 배신감 들어.,neutral,4
요즘 남편 건강 때문에 내 평생 삶이 희생된 것 같아서 억울한 마음이 자꾸 생겨.,neutral,4
믿었던 친구가 오늘 나를 배신했어. 머리가 멍하고 아무런 생각도 들지 않아.,sad,1
내가 따돌림을 당할 때 도와주지 않는 친구들이 너무 미워.,anger,3
나는 아직 결혼 생각이 없는데 부모님이 자꾸 선을 보라고 하셔서 화가 나.,anger,3
이번에 대리로 승진을 하게 됐어. 회사에서도 좀 빨리 승진한 경우라고 하더라고.,joy,0
최근에 입사한 회사에서 내가 어떻게 일을 해야 할지 모르겠어.,anxiety,2
요즘 별것도 아닌 일에도 민원이 들어와서 매우 힘들어.,anxiety,2
지금 너무 화나고 어이없어서 웃음만 나와.,anger,3
남자친구가 가방을 사줘서 신나. 연애는 좋은 거야.,joy,0
나 입대 전에 친구가 소개팅을 시켜준다고 했거든. 그런데 연락이 없어. 날 갖고 논 것 아닐까?,anger,3
나는 백 미터 달리기를 다른 사람보다 잘해.,joy,0
갑자기 배가 아파 산부인과 갔는데 임신 삼 개월에 아이를 유산해서 충격이야.,neutral,4
어제 결혼까지 하자고 약속했었던 남자친구에게 차였어.,neutral,4
우리 남편은 너무 일방통행이야. 너무 화가 나.,anger,3
절친한 친구가 내 병원비를 들고 도망을 갔네. 어떻게 이럴 수가 있지?,neutral,4
지병이나 별다른 사고 없이 이렇게 무탈하게 커 준 자식들에게 감사할 따름이야.,joy,0
이번에 면접 본 곳에 합격할 것 같아!,joy,0
고등학교 단짝인 친구와 자취를 하게 되었어. 그런데 친구가 유학을 간 뒤로 적적해서 집에 들어가기 싫어.,neutral,4
나 요즘 외로워. 만날 사람도 없고 새로운 친구 사귈 기회도 없어.,anxiety,2
어제 남자친구한테 결혼 이야기를 꺼내 봤는데 남자친구가 기대에 찬 눈빛으로 내 말을 들어주더라.,joy,0
친구랑 싸워서 걱정이야.,anxiety,2
결혼식에 꼭 와줬으면 했던 친구가 오지 않아서 서운해.,neutral,4
동아리방 청소가 있는 날인데 모두 바쁘다고 먼저 가서 혼자 희생하는 마음으로 청소를 다 했어.,joy,0
요즘은 가족이 건강하게 잘 지내는 모습을 볼 때마다 감사한 마음만 들어.,joy,0
오늘 면접 전에 옆 사람이 사준 음료수를 먹고 배탈이 났어. 사람이 미워지려고 해.,joy,0
내 상사는 믿음직하고 대단한 지도력을 갖추고 있어. 팀원 한 명 한 명을 챙겨주면서 프로젝트를 성공으로 이끌었어.,joy,0
요새 코로나 일구 때문에 그런지 취업이 잘 안 돼서 걱정이야.,anxiety,2
여자친구한테 바람맞고 이젠 연애는 지긋지긋해.,anger,3
남편이 투자한 게 수익률이 높아서 노후 걱정은 안 해도 될 거 같아.,joy,0
자식들 키우느라 나의 노후는 어찌 될지 상상만 해도 비통하네.,sad,1
윗집에서 너무 쿵쿵거려서 스트레스받아. 아침이나 낮에는 괜찮은데 잠자는 밤에도 그래서 매우 스트레스받아.,anxiety,2
회사에서 상사가 나를 쓸모 없는 사람이라고 했어. 나 스스로가 자괴감이 들어.,neutral,4
만성질환과 대인관계가 관련성이 있나?,neutral,4
내 여자친구가 프러포즈를 받아줄 것 같은 확신이 들어.,joy,0
정말 비통하고 원통해. 미치겠어.,sad,1
첫 직장에서 은퇴까지 걱정하지 말라더니 하루아침에 해고를 당해서 속상해.,neutral,4
요즘 우리 부부 사이가 틀어져서 좀 고민이 많아. 나이가 들더니 아내가 고집만 많아지고 자기 주장만 하네.,anxiety,2
하루에 만 보 걷기가 힘들어. 정말 짜증 나.,anger,3
선생님이 자율 학습 때 뺏었던 휴대폰을 반장만 줘서 짜증 나.,anger,3
친구 남편이 명예퇴직을 권고받았다고 해. 지금 친구는 앞으로의 생활이 막막한가 봐.,joy,0
상사가 협력회사에 갑질하는 모습을 보니까 너무 혐오스러워서 같이 일을 못 하겠어.,neutral,4
오늘 여자친구와 있었던 일을 생각하면 너무 화가 나.,sad,1
남자친구가 나한테 너무 집착해.,anger,3
